Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
dwarseliat	toiletter			
artu	bear			
arturig	bear-king			> Arthur
artrev	farm			
artrevan	agriculture			
artrevi	to farm	verb		
artreviat	farmer			
artus	structure			
artusac	structural			
artusa	to structure	verb		
artusaiat	structurer			
artusan	structuration			
arwer	pleasure			
aruran	discovery			
aruri	to discover	verb	derivation / compound	ar + uri, “in front-find”
aruriat	discoverer			
arbela	to forecast	verb	derivation / compound	ar + bela, “before-cast”, < belatu “throw”
arbelat	forecast			
arbelaiat	forecaster			
arbor	to use	verb	derivation / compound	Matasovic 2008; ar + bor, “in front-move”
arboriat	user			
arboru	use			n
arborwar	useful			
arborwaras	usefulness			
arbron	bosom			
arwerac	pleasant			
arweracas	pleasantness			
arwerc	cultivated field			
arwercan	cultivation			
arwerci	to cultivate	verb		
arwerciat	cultivator			
arweri	to please	verb		
arweriat	pleaser			
arweran	pleasing	noun		noun
arwor	coast			
arworac	coastal			
arworic	person from the coast			
asai	to achieve	verb		
canasai	to attain	verb	derivation / compound	can + asai, “with-achieve”
asaiat	achiever			
asaitol	achievement			
canasaiat	attainer			
canasaitol	attainment			
asedi	to establish	verb		
asediat	establisher			
asedan	establishment			
sun	dream			< suniducus “led-by-his-dreams”, DLG 2003, p. 280
suni	to dream	verb		
suniat	dreamer			
sunan	dreaming	noun		noun
asu	legal			
asunas	legality		derivation / compound	asu + -nas, n-enlargement, cf. Anaone, DLG 2003, p. 45
asuni	to legalise	verb	derivation / compound	asu + -ni, cf. carni < car-ni, DLG 2003, p. 106
asunan	legalisation			
asuniat	legaliser			
at(e)-	re-	affix		prefix; ate- before consonant, at- before vowel
ate	again			
atu	foster father			< atta “foster father”; abreviation of ater “father”
atugran	reaction			
atugriat	reactor			
atugri	to react	verb	derivation / compound	ate + ugri, loss of –e before u-
ate	yet			
atecati	to reject	verb		
atecatan	rejection			
atecatiat	rejector			
ategwertan	return			
ategwerti	to return	verb		
ategwertiat	returner			
atedici	to retaliate	verb		
atediciat	retaliator			
atedican	retaliation			
ategnud	descendant			grandson/daughter; < Atecnudis, DLG 2003, p. 58
ategnudan	descent			
ategnudi	to descend	verb		
ategnudiat	descender			
ategen	to be born again	verb		
ategentu	born-again			
ategenu	rebirth			
gen	to be born	verb		
gentu	born			
atei	hut			
dwatei	hovel		derivation / compound	du + atei , “bad-hut”
swatei	cabin		derivation / compound	su + atei, “good-hut”
critu swatei	cabin fever			
ategar	to repeat	verb		verbally
ategarac	repetitive	verb		verbally
ategariat	repeater	verb		verbally
ategaru	repetition	verb		verbally
ateit	slave			
ateitait	slavery			
enateitan	enslavement			
enateiti	to enslave	verb		
enateitiat	enslaver			
tepi	run			
tepiat	runner			
tepan	run	noun		noun
atenus	re-ascent		derivation / compound	ate + en + us- “again-in-up”, DLG 2003, p. 58
atenusa	to re-ascend	verb		
atenusaiat	re-ascender			
atenowi	new again			
atenowa	to renew	verb		
atenowaiat	renewer			
atenowat	renewal			
ater	father			
ateri	to father	verb		
ateran	fathering	noun		noun
aterait	fatherhood			
atesai	to research	verb		
atesaiat	researcher			
atesaitol	research			
atespa	to answer	verb		
atespaiat	answerer			
atespat	answer			
ateviuni	to revive	verb	derivation / compound	ateviu + -ni, cf. carni < car-ni, DLG 2003, p. 106
ateviunan	revival			
ateviuniat	reviver			
ateviu	revived		derivation / compound	ate + biu, “again-alive”
atwi	to foster	verb		
atwian	fostering			
atwiat	fosterer			
gnat atwian	foster child			
matir atwian	foster mother			
atiran	landing			
atiri	to land	verb		
atiriat	lander			
atrev	habitation			
atrevan	inhabitation			
atrevi	to inhabit	verb		
atreviat	inhabitant			
atwatu	oracle			
aturan	reunion			
aturi	to reunite	verb	derivation / compound	ate + uri, “re-find”
aturiat	reuniter			
