Galatac	English / French	Part of Speech	Source	Notes (original parenthesis data)
catuloi	battle host			
batorloi	patrol			
batorloi	platoon			
araunloi	weaponry			
daroc	disturbance		derivation / compound	dar + oc, “agitation-complete”
daroci	to disturb	verb		
darociat	disturber			
darocan	disturbing	noun		noun
darocid	disturbing	adjective		adjective
gwali	to rule	verb		
gwali	to reign	verb		
gwalan	rule			
gwalan	reign			
gwal	ruler			person in authority
digwalac	unruly			
gwaliat	regent			ruling on behalf of someone else
dwautai	to disarray	verb	derivation / compound	du+autai “bad-arrange”
dwautaiat	disarrayer			
dwautaitol	disarray			
aman mei	sometimes			
aucle	to repel	verb	derivation / compound	au + cle, “away-push”
aucleiet	repeller			
aucleiaun	repellant			
aucleien	repulsion			
aucleiac	repulsive			
gworani	to subdivide	verb		
gworan	subdivision			
gworaniat	subdivider			
menran	distinction		derivation / compound	men + ran, “think-division”
menrani	to distinguish	verb		
menraniat	distinguisher			
menranitu	distinguished			
coianu	equitable		derivation / compound	co + ianu, “with-fair”, cf. W. cyfiawn, id.
coianunas	equity			the quality of being afair and impartial
stamulac	stable	adjective	derivation / compound	adjective; stamul + -ac, “upright-like”, cf. W. sefydlog, id.
stamulacas	stability			
duli	to derive	verb		“to grow leaves” < dul “leaf”,cf. W. deillio, id., cf. E. “to stem from”, id.
dulan	derivation			
duliat	derivator			
dulac	derivative			
blatwi	to flower	verb		
blatwiat	flowerer			
blatwian	flowering			
blatwianu	florescence			
blatin	blossom			
blatini	to blossom	verb		
blatiniat	blossomer			
blatinan	blossoming	noun		noun
artoi	aim		derivation / compound	ar + toi, “before-bow”, cf. W. cyfeirio, aim < “with-in front”. W. anelu, aim < “draw a bow”
artoini	to aim	verb		
artoiniat	aimer			
artoinan	aiming	noun		noun
esartoi	aimless			
esartoias	aimlessness			
dulonci	to choke	verb		
duloncan	choke	noun		noun
dulonciat	choker			
andelonci	to consume	verb	derivation / compound	ande + lonci, “very-swallow”
andeloncan	consumption			
andelonciat	consumer			
sagonal	robe		derivation / compound	sagon + -al, “small coat”
dacru	tear			from eye; < PrC. *dacru-
dacruni	to shed tears	verb		
dacruniat	one who sheds tears			
dacrunan	shedding of tears	noun		noun
duvunbia	to carve	verb	derivation / compound	duvun + bia, “deep-cut”
duvunbiat	carver			
duvunbian	carving			
endelge	to contain	verb		
endelget	container			
endelgen	content			that which is contained inside something
anglis	dull			
anglisas	dullness			
sutai	to stroke	verb	derivation / compound	su + tai, “good-touch”
-loi	suffix of collective	affix		< *-sloi, loss of -s- before –l, cf. collo- < *coslo-, DLG 2003, p. 127
aciman	accident			
acimi	to happen accidentally	verb	derivation / compound	a + cimi > fall towards
acimac	accidental			
snaiatis	serpent			dragon
enreti	to invade	verb		
enretan	invasion			
enretiat	invader			
urstam	to resist	verb		
urstaman	resistance			
urstamiat	resister			
suvor	to play	verb		
suvoriat	player			
suvoru	play			game, sport
deprunoiti	to dine	verb		
deprunoitiat	diner			
deprunoit	dinner		derivation / compound	depru + noit, “eat-night”
dugwoti	to execute	verb		to kill
dugwotiat	executioner			
dugwotan	execution			killing
esber	to take leisure time	verb	derivation / compound	es + ber “without carrying anything”
esberiat	person at leisure			
esberan	leisure			
gwop	cheek		derivation / compound	gwó + óp, “below-eye”; cf. araus “temple”, “before-ear”
gwopac	cheeky			
albitu	otherworld		derivation / compound	al + bitu, “other-world”
albitunac	otherworldly			
oin	foam			
oinac	foamy			
gloi	coal			
gloiviu	butterfly			
morwar	ocean			
gwenu	smile			
gwenwi	to smile	verb		
renswaus	cadence of sounds		derivation / compound	for music) (ren + swaus, “flow-sound”
rengwep	cadence of words		derivation / compound	for poetry) (ren + gwep, “flow-word”
renbos	rhythm		derivation / compound	ren + bos, “flow-palm” < clapping of hands
renbosa	to rhythmise	verb		to imbue with rhythm
renbosac	rhythmic			
renbosaiat	rhythmiser			
renbosan	rhythmising	noun		noun
brenol	emperor		derivation / compound	bren + ol, “chief-everything”
brenolwar	imperial			
brenolwaras	imperialness			
brenolu	empire			
brenolait	emperorship			
aman brenolac	imperative tense			
brenolac	imperative			
gwocle	to oppress	verb	derivation / compound	gwó + clé, “push-under”
gwocleiet	oppressor			
gwocleien	oppression			
ratu a’n rig	hail the king			
caletan	steel			
caletanac	steely			
caletani	to steel	verb		
caletaniat	steeler			
acaunai	to petrify	verb		
acaunaitol	petrification			
acaunaiat	petrifier			
caleti	to harden	verb		
caletiat	hardener			
oled entarstirac	interstellar space			
sweregwi	to cope	verb	derivation / compound	sue + regwi, “self-straighten”
sweregwian	coping	noun		noun
sweregwiat	coper			someone who copes
ogral	cool (ogr- + -al, “cold-little”		derivation / compound	
ogralas	coolness			
sudiruc baru	morning glory			
daias gwer ti	good on you			
barnugwiru	objectivity			
barnugwirunac	objective			
didar	tranquility			
didaridu	tranquil			
dairegwi	to engineer	verb	derivation / compound	dai + regwi, “good-straighten”
dairegwiat	engineer			
dairegwian	engineering	noun		noun
dairegwid	engineering scientist			
dairegwidait	engineering science			
gavananac	breath taking			
noitsamal	equinox			
stantuswel	solstice		derivation / compound	stantu + swel, “standing-sun”; alternative for gwerstamswel
blegu	milk			cf. FrProv. blécher < Gaul. blegu, FWGO-Wiki
blegwi	to milk	verb		Fr. blecher
blegwiat	milker			
genet blegwiat	milk maid			
blegwian	milking	noun		noun
esblegwi	to distil	verb	derivation / compound	es + blegwi, “out-milk”
esblegwiat	distiller			
esblegwian	distilling			
tei esblegwi	distillery			
renblegwian	lactation			
renblegwi	to lactate	verb	derivation / compound	ren + blegwi, “flow-milking”
renblegwiat	lactator			
renblegwian owi	sheep lactation			
blegu owi	sheep’s milk			
blegu gavar	goat’s milk			
blegu casic	mare’s milk			
erada	to situate	verb	derivation / compound	er + ada, “around-place”
eradaiat	situator			
eradat	situation			
targwariate	diacritics		derivation / compound	tar + gwari, “through-separate”
calas	problem		derivation / compound	cal- + -as, “hardness”, cf. calet, calu
calasac	problematic			
sucert	sure			certain
sucertas	certainty			
sumolat	congratulation			
sumola	to congratulate	verb		
sumolaiat	congratulator			
swapisac	fantastic			
swapis	to fantasise	verb	derivation / compound	su + apis < “good-see”, cf. Gr. phantastikos < phantazein, id.
swapisiat	fantasiser			
swapisu	fantasy			
swapisan	fiction			
swapisan gwidait	science fiction			
swapisanac	fictional			
rangavi	to participate	verb	derivation / compound	ran + gavi, “part-take”
rangavan	participation			
rangaviat	participant			
swel	sun			
swelac	sunny			
gwepsinu	conjunction			
gweprai	preposition			
atada	to replace	verb	derivation / compound	at- + ada, “again-place”
atadaiat	replacer			
atadat	replacement			
rianu	pronoun	pronoun	derivation / compound	ri + anu, “for-name”, cf. L. pronoun, id.
rianunac	pronominal			
acatanac	adjectival			
gwepges	verb	verb	derivation / compound	gwep +ges, “word-spear” > word of action; cf. W. parwydd, “spear-wood frame” > “verb”
gwepgesac	verbal			
agwepges	adverb			
agwepgesac	adverbial			
anu	noun			“name”
broiulat	state		derivation / compound	political entity; broi + ulat, “country-prince”, cf. W. gwladwriaeth, id.
bisait	state		derivation / compound	condition; bis + -ait, “ being-ness”
eradat	condition			
erada	to condition	verb	derivation / compound	er + ada, “around-place” 
eradaiat	conditioner			
eradatol	conditioning			
amane gwepgesac	verbal tenses			
gwepgesa	to verbalise	verb		
gwepgesan	verbalisation			
gwepgesaiat	verbaliser			
ran gwepges	verbal affix			
ratunac	lucky			
anratunac	unlucky			
encravi	to inscribe	verb	derivation / compound	en + cravi, “in-write”, cf. E. engrave, id.
encraviat	inscriber			scribe
encravan	inscription			
scoc	active			
suscoc	functional			activity
suscoci	to function	verb		
suscociat	functioner			
suscocan	function	noun		noun
suscocas	functionality			
olcravi	to describe	verb		
olcraviat	describer			
olcravan	description			
sagat	film	noun		< sagu “coat”, secondary noun, cf. film, “coat of gel on photographic plate”
sagat	movie			
saga	to film	verb		back-formation from sagan “film”
sagaiat	filmer			
sagaiat	film-maker			
sagan	film-making			
corolan	clause			
spamenu	phrase			
spamenu	sentence			
spamenwi	to phrase	verb		
spamenwiat	phraser			
spamenwian	phrasing			
spamengwidait	phraseology			
spamengwid	phraseologist			
enada	to insert	verb	derivation / compound	 en + ada, “in-place”
enadaiat	inserter			
enadat	insertion			
augwertan	version		derivation / compound	au + gwert-, “away-from-turn”
augwerti	to make a version	verb		
augwertiat	version maker			
oldon	everybody			every person
raiman	to promote	verb	derivation / compound	rai + man, “forward-march”
raimanol	promotion	noun	derivation / compound	raiman + -ol, “forward-march-noun”; -ol instead of –an to avoid *-anan
raimaniat	promoter			
amanowi	modern		derivation / compound	aman + nowi, “time-new”, -nn- > -n-; cf. Ir. nua-aimseartha, id.
amanowias	modernity			
maisaman	forum		derivation / compound	mai + saman, “place-meeting”
govait	smithwork			
dugov	forgery		derivation / compound	du + gov, “bad-fold”
dugov	fake	noun		noun
dugoviat	forger			one who makes a fake
dugoviat	faker			
dugovi	to forge	verb		to make a fake
dugovi	to fake	verb		
sugov	imitation			
sugovi	to imitate	verb		
sugoviat	imitator			
angovi	to unfold	verb		
angoviat	unfolder			
swangovi	to develop	verb	derivation / compound	su+angovi, “good-unfold”
swangoviat	developer			
swangov	development			
swangovitu	developed			
diduran	interest		derivation / compound	being interested in something; did[iu] + uran, “outside-finding”
didurac	interesting	adjective		adjective
besloiac	cultural			
besloini	to culturise	verb		
besloinan	culturisation			
besloiniat	culturiser			
divesloini	to acculturise	verb	derivation / compound	loss of culture; di + besloini, “un-culturise”
divesloinan	acculturisation			
divesloiniat	acculturiser			
dantu	tooth			
laudantu	toothache		derivation / compound	lau + dantu, “sore-tooth”
dantugwid	dentist			
dantugwidait	dentistry			
danti	to teeth	verb		when babies grow teeth
dantan	teething	noun		noun
dantiat	teether			baby who grows teeth
cnugni	to read	verb	derivation / compound	cnusa + gni, “pick-know”
cnugniat	reader			
cnugnan	lecture			reading
gnas	sex			
gnasac	sexy			
gnasa	to have sex	verb		
gwarg	sex			
gwarge	to have sex	verb		
gwargac	sexy			
dicaradonait	misanthropy		derivation / compound	hatred of people; di + cara- + don + -ait, “un-love-person-condition”
dicaravenait	misogyny			hatred of women
dicaragwirait	misandry			hatred of men
dicaraswausait	misophonia			hatred of sound
dicaradonaun	misanthropist			
dicaravenaun	misogynist			
dicaragwiraun	misandrist			
dicaraswausaun	misophonist			
gwepgwid	terminologist			
gwepgwidait	terminology			
ambosanal	article		derivation / compound	ambosan + -al, “joint-little”
anu conantunac	definite noun			
anu anconantunac	indefinite noun			
conanti	to define	verb		
conantunac	definite			
conantunacas	definiteness			
anconantunac	indefinite			
anconantunacas	indefiniteness			
conantiat	definer			
conantan	definition			
antunac	finite		derivation / compound	antu + -nac, “end-like”
diantunac	infinite			di- instead of an- to avoid repetition of **ananthunac
rianu teitunac	possessive pronoun			
rianu donac	personal pronoun			
ranal gwepgesac	verbal particle			
gweprai	preposition			
gwepraini	to prepose	verb		
gweprainiat	preposer			
gweprainan	preposing	noun		noun
gwepraiac	prepositional			
bilan	matter		derivation / compound	bil + -an, “trunk-thing”; cf. E. matter < OFr. matere < L. materia < “hard inner wood of a tree”, cf. Gr. hyle “wood, firewood” > “matter”
bilanas	material	noun		noun
bilanac	material	adjective		adjective
bilanasac	materialistic			
bilanasait	materialism			
bilanasaun	materialist			
bilanasu	materiality			
bilani	to materialise	verb		
bilanu	materialisation			
bilaniat	materialiser			
divilani	to dematerialise	verb		
divilaniat	dematerialiser			
divilanu	dematerialiser			
anbilanac	immaterial			
artunac	structural			
artuni	to structure	verb		
artuniat	structurer			
artunan	structuring	noun		noun
ansucert	unsure			
ansucert	uncertain			
ranrai	prefix			
ranraini	to prefix	verb		
ranrainiat	prefixer			
ranrainan	prefixation			
coilan	narrowing	noun		noun
coili	to make narrow	verb		
coili	to lenite	verb		
coilan	lenition			
coiliat	narrower			one who makes narrow
coiliat	leniter			
gwidul	letter			little wood
gwiduli	to letter	verb		
gwiduliat	letterer			
gwidulan	lettering	noun		noun
gnigwep	literature		derivation / compound	gni + gwep, “know-word”
gnigwepac	literate			
gnigwepait	literacy			
angnigwepac	illiterate			
angnigwepait	illiteracy			
gwidulac	literal		derivation / compound	gwidul + -ac, “letter-like”
inte gwidulac	literally			
blar	pale			
blaras	paleness			
da	two			
carstalu	garage		derivation / compound	car + stalu, “car-shed”, in analogy with historical naustalu, DLG 2003, p. 232
educravan	office room		derivation / compound	edu + cravan, “room-writing”
gwotei	cellar		derivation / compound	gwo + tei, “under-house”
edudor	hallway		derivation / compound	edu + dor, “room-door”
enaitol	entrance			
prensucletu	staircase		derivation / compound	pren + sucletu, “tree-stairs”
edusedan	living room		derivation / compound	edu + sedan, “room-sitting”
maidor	corridor		derivation / compound	mai + dor, “place-door”
targweri	to pass through	verb		
targweran	passage			
targweriat	passenger			
clusduman	chimney		derivation / compound	clus + duman, “hole-smoke”
balanwiat clusduman	chimney sweep			
bilatus	gallery		derivation / compound	bilat + us, “terrace-high”
prenderc	balcony			
bilat	terrace			
garu sloi	slogan		derivation / compound	garu + sloi, “shout-group”, cf. Gael. sluagh-ghairm, id.
garu catu	battlecry			
beculoi	swarm			group of bees
etanloi	flock			group of birds
turcloi	sounder			group of pigs
daiac	dual	adjective	derivation / compound	adjective, da + -ac, “two-like”, with epenthetic -i-
daiacas	duality			
sloiac	collective	adjective		adjective
sloiacas	collectivity			
gwirin	masculine			
gwirinas	masculinity			
benin	feminine			
beninas	femininity			
lingovi	to lap	verb		water lapping on the shore
gwerwolat	joy			
gavali	to split	verb	derivation / compound	gaval + -i, “fork-ing”
gavalan	split			
gavaliat	splitter			
critavo	to terrorise	verb	derivation / compound	crit + avo, “tremble-make”
critaviat	terrorist			
critavan	terrorism			
urcritavan	anti-terrorism			
gwirtoi	archer		derivation / compound	gwir + toi, “man-bow”
gwirtoi	bowman			
gwirtoiait	bowmanship			
druid	druid			Gaulish and pan-Celtic scholar, philosopher, lawman, judge and religious official
druidait	druidism			
ducani	to howl	verb	derivation / compound	du + cani, “bad-sing”
ducaniat	howler			
ducanu	howl	noun		noun
cava	coffee			
te	tea			
nudele	noodles			
oris	rice			
emen	butter			
emeni	to butter	verb		
emeniat	butterer			
emenan	buttering			
salat	sausage			
glasrun	vegetable		derivation / compound	glas + run, “green-secret”
glasrun	plant			
glasruni	to plant	verb		
glasruniat	planter			
glasrunan	plantation			
awi	egg			< PrC. *awyo, cf. W. wy, Br. ui, C. oy
awini	to egg	verb		to throw eggs
awiniat	egger			
awinan	egging			
ivanaval	cider		derivation / compound	ivan + aval, “drink-apple”
ianwi	to correct	verb		
ianwian	correction			
ianwiat	corrector			
sugestolac	safe			
sugestol	safety			
en gestoli o	so that			securing that
berada	to send	verb	derivation / compound	ber + ada, “carry-place”
beradaiat	sender			
beradat	sending	noun		noun
beradat	dispatch			
beradati	to dispatch	verb		
beradatiat	dispatcher			
beradatan	dispatching	noun		noun
penroti	to roll	verb	derivation / compound	pen + roti, “head-wheel”
penrotiat	roller			
penrot	roll			
cisgnat	cradle		derivation / compound	cis + gnat, "basket-child"
cisgnati	to cradle	verb		
cisgnatiat	cradler			
cisgnatan	cradling	noun		noun
linlat	flag		derivation / compound	lin + lat, “cloth-flat”
gnitac	ordinary			
gnitacas	ordinariness			
gnit	order			
sugnit	orderly			
sugnitas	orderliness			
ongov	simple		derivation / compound	on + gov, “one-fold”
ongovas	simpleness			
ongovi	to simplyfy	verb		
ongoviat	simplifier			
ongovan	simplification			
ongovac	simplistic			
ongovacas	simplicity			
ongovu	simpleton			
atwian	fosterage			
dilipi	to adopt	verb	derivation / compound	di + lipi, “un-abandon”
dilipan	adoption			
dilipiat	adopter			
gwenatwian	foster-family			
conatwian	joint fosterage			
atwi stat	to take a stance	verb		to adopt an attitude
atwi stat gwomal	to keep a low profile	verb		to adopt a careful attitude/stance
lamsiri	to reach out	verb		
lamsiri	to stretch	verb		
lamsiran	stretch	noun		noun
lamsiran	outreach	noun		noun
lamsiriat	stretcher			
lamsiriat	outreacher			
nedon	nobody			
gavi	imperative of “to have”	verb		“take”
meiu	a little			
angranwar	serious			
angranwaras	seriousness			
cocle	to constipate	verb	derivation / compound	co + cle, “together-push”
cocletu	constipated			
cocleien	constipation			
cocleiet	constipator			
aliudew	idol		derivation / compound	aliu + dew, “image-god”
aliudewait	idolatry			
aliudewi	idolise			
aliudewiat	idoliser			
aliudewan	idolisation			
aliudewac	idolatrous			
aliudewacas	idolatrousness			
donamat	fan		derivation / compound	don + amat, “person-likeing”
clustuc	arsehole		derivation / compound	clus + tuc, “hole-arse”
clustucait	arseholism			
conatespa	to correspond	verb		
conatespaiat	corresponder			
conatespat	correspondence			
dwawel	fart		derivation / compound	du + awel, “bad-wind”
dwaweli	to fart	verb		
dwaweliat	farter			
dwawelan	farting	noun		noun
mensiri	to stress	verb	derivation / compound	men + siri, “think-lengthen”
mensiran	stress			
mensiriat	stresser			
cromisa	to menstruate	verb	derivation / compound	cro + mis + -a, “blood-month-ing”
cromisan	menstruation			
cromisaiat	menstruater			
mensiran cin cromisan (MCC)	pre-menstrual tension			PMT
insin	here			
inse	there			
traiu	still			
traiu	ongoing			
traiu	continuous			
traiunas	continuity			
ogri	to freeze	verb		
ogran	frost			
ogriat	freezer			
trunlat	monkey			< Gr. simos "flat nose”
trunlati	to monkey around	verb		
trunlatan	monkeying around			
trunlatiat	one who monkeys around			
asin	donkey			< Sumerian asnu
saraf	giraffe			< Arabic zarafa
milcawar	elephant		derivation / compound	mil + cawar, "animal-giant", cf. W. cawrfil, id.
avancarc	crocodile		derivation / compound	avanc + carc, "watermonster-stone" < Gr. crocodile "stone-worm"
teimar	hall		derivation / compound	tei + mar, “house-big”
marunac	deadly			
marunacas	deadliness			
marusac	deathly			
marusacas	deathliness			
marwiac	mortal		derivation / compound	marwi + -ac, “dying-like”
marwiacas	mortality			
duratwi	to doom	verb		
duratu	doom			
duratwiat	doomer			
duratwian	dooming	noun		noun
donwat	elf		derivation / compound	fairy; don + mat, “person-good”, cf. Ir. na daoine maithe, id.
matin	female lynx			< Galat. matina, Hesychian gloss, Witczak 2012, cf. W. maden “vixen”)
matuc	male lynx			< Galat. mataco-, Hesychian gloss, Witczak 2012cf. W. madog. Br. matoc, matec, “fox”
matar	pike			Witczak 2012
contai	to syntactise	verb	derivation / compound	con + tai, “with-touch”
contaitol	syntax			
contaiat	syntactiser			cf. Gr. kontagiatis "syntacter" > grammarian, editor
contaiat	grammarian			
contaiac	syntactic			
dutai	to mess up	verb		
dutaitol	mess			
dutaiat	mess maker			
dutaiac	messy			
sutai	to tidy up	verb		
sutaiat	person who tidies up			
sutaitol	tidiness			
sutaiac	tidy			
gwertai	to obsess	verb		
gwertaiat	obsessor			
gwertaitol	obsession			
gwertaiac	obsessive			
gwotai	to neglect	verb		
gwotaiat	neglector			
gwotaitol	neglect			
gwotaiac	negligent			
ditai	to discard	verb		
ditaiat	discarder			
ditaitol	discarding	noun		noun
andetai	to fuss	verb		
andetaiat	fusser			
andetaitol	fuss			
andetaiac	fussy			
amtai	to wrap	verb		
amtaiat	wrapper			
amtaitol	wrap			
atai	to hug	verb		to fondle
ataiat	hugger			fondler
ataitol	hug			fondle
artai	to introduce	verb		
artaitol	introduction			
artaiat	introducer			
artaiac	introductary			
cintai	to do foreplay	verb		
cintaitol	foreplay			
cintaiat	foreplayer			
cintaiac	foreplay-like			
urtai	to conspire	verb		
urtaiat	conspirator			
urtaitol	conspiracy			
urtaiac	conspiratory			
ancoswad	uncomfortable			
brondelget	bra		derivation / compound	bron + delget
gwer eti	even more			
berwen	to inform	verb	derivation / compound	ber + men, "carry-think"
berwenu	information			
berweniat	informant			
berwenac	informative			
gwenac	familial			
donac	personal			
cocerdi	to collaborate	verb		work together
canver	to relieve	verb	derivation / compound	can + ber, "carry together"
canveru	relief			
canveriat	reliever			
canverac	relevant			
canveracas	relevance			
esgwir	widow		derivation / compound	es + gwir,”without-man”
esben	widower			
esgwiri	to widow	verb		
esgwiritu	widowed			
esgwiran	widowing			
esgwiriat	widower			
esgwiriat	widow-maker (			
loscriti	to swing	verb	derivation / compound	to sway; losc- + crit-, “tilt-tremble”
loscritiat	swinger			swayer
loscritan	swing	noun		noun; physical object [child’s play equipment] and abstract concept (e.g. voter change from one side to another; authority
arpencriti	to sway	verb	derivation / compound	arpen + criti, “side-tremble”
arpencritiat	swayer			
arpencritan	sway	noun		noun
sulingen mantu	chat			"jaw dance"
avo sulingen mantu	to have a chat	verb		"to do a jaw dance"
cir	murky			dark; De Bernardo-Stempel, "Phonetic Interface Word Form, in Cont. Celt" 2014
ciras	murkiness			darkness, Stempel 2014
swar	fierce			Stempel 2014
cicol	fleshy			Stempel 2014
sut	produce			fruit, Stempel 2014
sudelge	to last	verb		
sudelget	laster			something which lasts well
sudelgen	duration			
arbudin	preservation			
arbudini	to preserve	verb		
arbudiniat	preserver			
arbudinaun	preservationist			
arbudinac	preservational			
silu	race			of humans
silu donic	human race			mankind
donicas	humanity			quality
donicait	humanity			moral trait
iud	jew			
iudac	jewish			
iudait	jewry			
iudacas	jewishness			
anadarcet	wood spirit			
bescoti	to practice Celtic paganism	verb	derivation / compound	bes + cot, “culture-ancient”
bescotiat	practioner of Celtic paganism			
bescotan	practice of Celtic paganism			
sloicanu	choir		derivation / compound	sloi + canu, “song-group”
broiater	fatherland			
donbroi	countryman			
gweri	to happen	verb		the passage of things
gweran	happening			event
delgar	school		derivation / compound	delg + -ar, “hold-area”, cf. Gr. skhole “a holding back; place of holding, keeping”; cf. uercaria
edumenrodi	classroom		derivation / compound	edu + menrodi, “room-teaching”
teisentiat	hotel		derivation / compound	tei + sentiat, “house-traveller”
teicican	butcher shop		derivation / compound	tei + cican, “house-butchering”
esgus	lethargic		derivation / compound	es + gus, “without-energy”
esgusas	lethargy			
teicuru	pub		derivation / compound	tei + curu, “house-beer”
teimotan	brothel		derivation / compound	tei + motan, “house-fucking”
prenal	sapling			
gendul	bud		derivation / compound	gen + dul, “born-leaf”
gnatal	baby			
don gwis	wise person			= of the cunning folk, folk magician
done gwis	wise people			= the cunning folk, folk magicians
don gnion	knowing person			= of the cunning folk, folk magician
done gnion	knowing people			= the cunning folk, folk magicians
done taus	silence people			= the cunning folk, folk magicians
don taus	silence person			= of the cunning folk, folk magician
sucinaci	to freshen	verb		
sucinaciat	freshener			
sucinacan	freshening	noun		noun
atesucinaci	to refresh	verb		
atesucinacan	refreshening	noun		noun
atesucinacol	refreshment			
atesucinaciat	refresher			
atelani	to refill	verb		
atelaniat	refiller			
athelanan	refill			
paral	bottle		derivation / compound	par + -al, “cauldron-small”
parali	to bottle	verb		
paraliat	bottler			
paralbron	bottle for feeding infants		derivation / compound	paral + bron, “bottle-breast”
cloc	bell			
tir	land			< Tirro, Tironius; Whatmough 1970, p. 229, 658
cridal	little heart			poetic image
sucol	slender			
sucolas	slenderness			
ancoranac	uncommon			
ancoranacas	uncommonness			
esberada	to emit	verb	derivation / compound	es + berada, "out-send"
esberadat	emission			
esberadaiat	emitter			
treverada	to transmit	verb	derivation / compound	tre + berada, “across-carry-place”
treveradat	transmission			
treveradaiat	transmitter			
enbi	to draw	verb	derivation / compound	en + bi, “in-cut”
enbiat	drawer			
enbion	drawing			
anutaran	generic swearword		derivation / compound	anu + taran, "name-storm"
di	off	preposition		preposition
uri in aman sir can pet nep	to be bored with something	verb		to find the time long with
cicro	wound		derivation / compound	cic + cro, “flesh-blood”
cicroi	to wound	verb		
cicroitu	wounded			
cicroiat	wounder			
cicroitol	wounding	noun		noun
claci	to clank	verb		
claciat	clanker			
clac	clank	noun		noun, onomatopeia; the sound of something clanking
clacan	clanking	noun		noun
cleci	to ring	verb		make sound
cleciat	ringer			bell
clec	ring	noun		noun, onomatopeia; the sound of a bell ringing
clecan	ringing	noun		noun; ringing of a bell or a phone or similar
britwian	consideration			
britwiac	considerable			
britwiat	considerer			
britwi	to consider	verb		
coderci	to regard	verb		to consider
codercan	regard			consideration
coderciat	regarder			
ancodercid	regardless			
tegimat	farewell		derivation / compound	tegi + mat, “leave-well”
spa tegimat	to say farewell	verb		
dimai	away		derivation / compound	di + mai, "off-place"
cumlat	dish		derivation / compound	cum + lat, “hollow-flat”
camanisaran	railway		derivation / compound	caman + isaran, “road-iron”, cf. Fr. chemin-de-fer, id.
riol	bus		derivation / compound	ri + ol, "for all", cf. L. omnibus, id.
riolten	train		derivation / compound	riol + ten, “bus-fire”
menancu	addiction		derivation / compound	men + ancu, “think-hook”
menancunitu	addicted			
menancunac	addictive			
menancuni	to addict	verb		
menancunaun	addict			
menancuniat	addicter			
liautir	landscape			liaut-tir, “shape-land”
liautiri	to landscape	verb		
liautiriat	landscaper			
liautiran	landscaping	noun		noun
broilondu	country side			broi-londu, “country-wild”
broiac	rural			
broiacas	ruralness			
licada	to pave	verb	derivation / compound	lic + ada, “flat rock-place”
licadaiat	paver			
licadat	pavement			
cisal	coffin		derivation / compound	cis + -al, “basket-little”
scotir	shovel		derivation / compound	scot + tir, “scraper-land”
scotiri	to shovel	verb		
scotiriat	shoveller			
scotiran	shovelling			
scotiriat cacu	shit shoveller			
dacel	pair		derivation / compound	da + cel, “two-partner”
daceli	to pair	verb		
dacelan	pairing	noun		noun
daceliat	pairer			
cocel	couple			
coceli	to couple	verb		
coceliat	coupler			
cocelan	coupling			
duvur ten	liquor		derivation / compound	duvur + ten, “water-fire”, strong alcohol
gwepsai	to riddle	verb		
gwepsaitol	riddle			
gwepsaiat	riddler			
corutanc	treaty		derivation / compound	coru + tanc, “contract-peace”
penarweri	to prefer	verb	derivation / compound	pen + arweri, “head/main-pleasure”; pen- as prefix
penarwer	preference			
penarweriat	preferer			
penarweran	prefering	noun		noun
penarwerac	preferential			
lostarwer	avoidance		derivation / compound	lost + arwer, “tail pleasure”; lost- as prefix, by analogy with pen-
lostarweri	to avoid	verb		
lostarweriat	avoider			
lostarweran	avoiding	noun		noun
dicari	to hate	verb	derivation / compound	di + cari, “un-love”
dicariat	hater			
dicarat	hatred			
aucara	to unfriend	verb		
aucariat	unfriender			
aucarat	unfriending	noun		noun
aucaran	non-friend			
aucaranait	non-friendship			
dwarwer	detestation		derivation / compound	du + arwer, “bad-pleasure”
dwarweri	to detest	verb		
dwarweriat	detester			
durunboi	to strike	verb	derivation / compound	to hit hard; durun + boi, “fist-hit”
durunboiat	striker			
durunboitol	strike			a blow or a hit
acaunwargu	brick		derivation / compound	acaun + margu, “stone-clay”; cf. W. priddfaen, id.
gnitu	rank	noun	derivation / compound	noun; gnit + -u, "order-thing"
gnitwi	to rank	verb		
gnitwiat	ranker			
ne coeti	neither			“not also”
dicondu	unreason			
dicondunac	unreasonable			
conada	to combine	verb	derivation / compound	con + ada, “together-place”
conadat	combination			
conadaiat	combiner			
amanentar	middle ages		derivation / compound	aman + entar, “time-between”
amanentarac	medieval			
mendron	threat		derivation / compound	men + dron, “think-quarrel”
mendroni	to threaten	verb		
mendroniat	threatener			
mendronan	threatening	noun		noun
gwiruvisas	reality		derivation / compound	gwiru + bis, “true-being”, cf. C. gwirvos, Br. gwirvoud, id.
gwiruvis	real			
gwiruvisac	realistic			
gwiru	#VALUE!		#VALUE!	
gwertali	to mutate	verb	derivation / compound	gwerti + al, “turn-other”
gwertalan	mutation			
gwertaliat	mutater			
belisoc	totalitarian	adjective	derivation / compound	adjective, belis + oc, “power-complete”
belisocait	totalitarianism			
belisocaun	totalitarian	noun		noun
cosepat	consequence		derivation / compound	co + sepat, “with-following”
cosepatac	consequential			
sucerd	art			
sucerdac	artistic			
tigerenocait	tyranny			
tigerenoc	tyrant		derivation / compound	tigeren + oc, “boss-complete”
gweprun	code		derivation / compound	gwep + run, “word-secret”
gwepruni	codify			
gwepruniat	codifier			
gweprunan	codification			
arem	respect		derivation / compound	ar + rem, “before-chief”, cf. Ir. urraim < *air-réim, id.
